RaceDay,Driver,LapTime,Position
Day 1,Michael Schumacher,1:22.35,1
Day 1,Fernando Alonso,1:22.85,2
Day 1,Kimi Räikkönen,1:23.10,3
Day 1,David Coulthard,1:23.45,4
Day 1,Rubens Barrichello,1:23.65,5
Day 1,Juan Pablo Montoya,1:23.80,6
Day 1,Jenson Button,1:24.05,7
Day 1,Nick Heidfeld,1:24.15,8
Day 1,Giancarlo Fisichella,1:24.35,9
Day 1,Jarno Trulli,1:24.50,10
Day 1,Mark Webber,1:24.80,11
Day 1,Heinz-Harald Frentzen,1:25.00,12
Day 1,Christian Klien,1:25.15,13
Day 1,Takuma Sato,1:25.30,14
Day 1,Ralf Schumacher,1:25.45,15
Day 1,Felipe Massa,1:25.70,16
